Station: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.80,-.38,-.46,-.65,-.35,-.47,-.46,.09,-.48,-.64,-.49,-.51,-.47,***,***,-.49,-.28,-.54
1881,-.78,-.61,-.35,-.25,-.02,-1.10,-.52,-.23,-.31,-.46,-.55,-.12,-.44,-.47,-.63,-.21,-.62,-.44
1882,.13,-.09,-.06,-.57,-.36,-1.01,-.69,-.10,-.06,-.29,-.37,-.65,-.34,-.30,-.03,-.33,-.60,-.24
1883,-.66,-.92,-.43,-.29,-.33,.47,.00,-.14,-.44,-.54,-.66,-.37,-.36,-.38,-.75,-.35,.11,-.54
1884,-.60,-.33,-.39,-.93,-1.18,-.82,-.84,.16,-.37,-.77,-.81,-1.00,-.66,-.61,-.44,-.83,-.50,-.65
1885,-.92,-.78,-.90,-.86,-.48,-.92,-.62,-.15,-.15,-.02,-.37,.02,-.51,-.60,-.90,-.75,-.56,-.18
1886,-.75,-.81,-.67,-.61,-.55,-.83,-.39,-.72,-.41,-.84,-.48,-.74,-.65,-.59,-.51,-.61,-.65,-.58
1887,-.86,-1.24,-.58,-.82,-.84,-.65,-.39,-.24,-.59,-.50,-.90,-.64,-.69,-.70,-.95,-.75,-.43,-.66
1888,-.71,-.78,-.88,-.27,-.73,-.52,-.31,-.32,-.38,-.22,-.02,-.13,-.44,-.48,-.71,-.63,-.38,-.21
1889,-.25,.19,.09,.15,.13,-.28,-.38,-.56,-.34,-.16,-.41,-.37,-.18,-.16,-.06,.12,-.40,-.30
1890,-.59,-.60,-.59,-.47,-.88,-.54,-.55,-.57,-.30,-.24,-.75,-.50,-.55,-.54,-.52,-.65,-.55,-.43
1891,-.92,-1.02,-.47,-.62,-.45,-.53,-.67,-.55,-.45,-.50,-.48,.09,-.55,-.60,-.81,-.51,-.58,-.48
1892,-.57,-.26,-.54,-.66,-.61,-.51,-.36,-.24,-.44,-.30,-.60,-.57,-.47,-.42,-.25,-.60,-.37,-.45
1893,-1.40,-.97,-.57,-.64,-.72,-.66,-.10,-.30,-.22,-.05,-.10,-.35,-.51,-.53,-.98,-.64,-.35,-.12
1894,-.74,-.59,-.37,-.62,-.63,-.46,-.36,-.29,-.40,-.06,-.13,-.14,-.40,-.42,-.56,-.54,-.37,-.20
1895,-.67,-.76,-.49,-.44,-.30,-.27,-.52,-.17,-.13,-.07,-.14,-.07,-.34,-.34,-.52,-.41,-.32,-.11
