Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.19,-.32,-.05,-.39,-.17,-.01,-.96,-.50,-.27,-.22,-.12,-.04,.05,.68
1881,-.10,-.19,-.01,-.33,.05,-.07,-.86,-.49,-.15,.03,.08,-.06,-.07,.60
1882,-.11,-.22,.00,-.29,-.07,.03,-1.44,-.28,-.10,-.10,-.05,.03,.04,.63
1883,-.19,-.32,-.06,-.37,-.20,.01,-.33,-.61,-.23,-.24,-.17,-.01,.07,.50
1884,-.29,-.44,-.15,-.57,-.21,-.13,-1.30,-.61,-.42,-.23,-.18,-.18,-.02,.65
1885,-.31,-.41,-.23,-.59,-.15,-.25,-1.17,-.68,-.43,-.09,-.21,-.30,-.15,.83
1886,-.32,-.42,-.23,-.52,-.25,-.22,-1.24,-.49,-.41,-.25,-.25,-.21,-.20,.59
1887,-.35,-.41,-.29,-.46,-.32,-.27,-1.55,-.47,-.26,-.32,-.33,-.27,-.26,.32
1888,-.18,-.23,-.13,-.41,.08,-.28,-1.41,-.43,-.21,.07,.09,-.31,-.23,.16
1889,-.11,-.17,-.05,-.27,.05,-.16,-.76,-.19,-.22,.00,.11,-.15,-.16,.45
1890,-.37,-.41,-.33,-.46,-.41,-.22,-1.19,-.53,-.27,-.34,-.48,-.17,-.28,.16
1891,-.23,-.26,-.20,-.41,-.12,-.21,-1.23,-.28,-.33,-.03,-.21,-.17,-.24,-.15
1892,-.26,-.37,-.15,-.40,-.30,-.07,-1.32,-.58,-.12,-.33,-.27,.03,-.22,.09
1893,-.31,-.45,-.18,-.47,-.38,-.06,-.93,-.50,-.36,-.42,-.35,.04,-.21,-.04
1894,-.31,-.39,-.23,-.33,-.35,-.24,-1.39,-.25,-.12,-.48,-.22,-.15,-.35,-.37
1895,-.22,-.29,-.16,-.38,-.08,-.26,-.97,-.44,-.19,-.13,-.02,-.20,-.32,-.58
1896,-.11,-.20,-.02,-.36,.10,-.15,-1.27,-.34,-.15,.06,.14,-.15,-.14,.26
1897,-.12,-.17,-.06,-.34,.15,-.24,-.80,-.39,-.20,.10,.19,-.20,-.28,.41
1898,-.27,-.28,-.27,-.31,-.26,-.26,-1.20,-.15,-.20,-.24,-.28,-.28,-.21,.38
1899,-.18,-.20,-.15,-.20,-.15,-.19,-1.09,.01,-.13,-.20,-.10,-.17,-.22,.59
1900,-.09,-.08,-.09,-.17,.14,-.30,-.62,-.07,-.13,.08,.20,-.29,-.29,.28
1901,-.15,-.10,-.20,-.12,-.06,-.30,-.57,-.02,-.07,-.06,-.06,-.27,-.34,.26
1902,-.29,-.34,-.24,-.50,-.08,-.35,-1.63,-.40,-.27,-.07,-.10,-.28,-.43,-.04
1903,-.38,-.38,-.38,-.46,-.32,-.38,-.51,-.37,-.49,-.26,-.37,-.35,-.40,-.47
1904,-.48,-.49,-.48,-.50,-.51,-.44,-.29,-.54,-.52,-.48,-.54,-.37,-.49,-1.29
1905,-.28,-.31,-.25,-.39,-.14,-.35,-.19,-.17,-.59,-.18,-.11,-.33,-.37,-.31
1906,-.22,-.22,-.22,-.23,-.21,-.23,-.40,.01,-.34,-.22,-.20,-.20,-.23,-.68
1907,-.39,-.47,-.31,-.58,-.33,-.29,-.76,-.69,-.46,-.32,-.34,-.21,-.37,-1.17
1908,-.43,-.46,-.40,-.47,-.46,-.35,-.45,-.50,-.47,-.44,-.48,-.27,-.48,.70
1909,-.47,-.47,-.47,-.48,-.48,-.43,-.82,-.50,-.39,-.45,-.52,-.36,-.52,-.54
